distance_m,x_m,y_m,elevation_m,segment_index
60.0,0.0000,60.0000,0.4723,0
61.0,0.0000,61.0000,0.4801,0
62.0,0.0000,62.0000,0.4880,0
63.0,0.0000,63.0000,0.4959,0
64.0,0.0000,64.0000,0.5038,0
65.0,0.0000,65.0000,0.5116,0
66.0,0.0000,66.0000,0.5195,0
67.0,0.0000,67.0000,0.5274,0
68.0,0.0000,68.0000,0.5352,0
69.0,0.0000,69.0000,0.5431,0
70.0,0.0000,70.0000,0.5510,0
71.0,0.0000,71.0000,0.5589,0
72.0,0.0000,72.0000,0.5667,0
73.0,0.0000,73.0000,0.5746,0
74.0,0.0000,74.0000,0.5825,0
75.0,0.0000,75.0000,0.5903,0
76.0,0.0000,76.0000,0.5982,0
77.0,0.0000,77.0000,0.6061,0
78.0,0.0000,78.0000,0.6139,0
79.0,0.0000,79.0000,0.6218,0
80.0,0.0000,80.0000,0.6297,0
81.0,0.0000,81.0000,0.6376,0
82.0,0.0000,82.0000,0.6454,0
83.0,0.0000,83.0000,0.6533,0
84.0,0.0000,84.0000,0.6612,0
85.0,0.0000,85.0000,0.6690,0
86.0,0.0000,86.0000,0.6769,0
87.0,0.0000,87.0000,0.6848,0
88.0,0.0000,88.0000,0.6927,1
89.0,-0.0132,88.9999,0.7005,1
90.0,-0.0439,89.9994,0.7084,1
91.0,-0.0921,90.9982,0.7163,1
92.0,-0.1578,91.9961,0.7241,1
93.0,-0.2411,92.9926,0.7320,1
94.0,-0.3418,93.9875,0.7399,1
95.0,-0.4599,94.9805,0.7478,1
96.0,-0.5955,95.9713,0.7556,1
97.0,-0.7484,96.9595,0.7635,1
98.0,-0.9186,97.9449,0.7714,1
99.0,-1.1061,98.9271,0.7792,1
100.0,-1.3107,99.9060,0.7871,1
101.0,-1.5326,100.8810,0.7950,1
102.0,-1.7714,101.8521,0.8029,1
103.0,-2.0273,102.8188,0.8107,1
104.0,-2.3001,103.7808,0.8186,1
105.0,-2.5898,104.7379,0.8265,1
106.0,-2.8962,105.6898,0.8343,1
107.0,-3.2192,106.6362,0.8422,1
108.0,-3.5588,107.5768,0.8501,1
109.0,-3.9149,108.5112,0.8580,1
110.0,-4.2873,109.4393,0.8658,1
111.0,-4.6759,110.3607,0.8737,1
112.0,-5.0806,111.2751,0.8816,1
113.0,-5.5013,112.1823,0.8894,1
114.0,-5.9378,113.0820,0.8973,1
115.0,-6.3901,113.9739,0.9052,1
116.0,-6.8579,114.8577,0.9131,1
117.0,-7.3411,115.7331,0.9209,1
118.0,-7.8397,116.6000,0.9288,1
119.0,-8.3534,117.4579,0.9367,1
120.0,-8.8820,118.3068,0.9445,1
121.0,-9.4255,119.1462,0.9524,1
122.0,-9.9836,119.9760,0.9603,1
123.0,-10.5562,120.7958,0.9682,1
124.0,-11.1430,121.6055,0.9760,1
125.0,-11.7440,122.4047,0.9839,1
126.0,-12.3589,123.1933,0.9918,1
127.0,-12.9876,123.9710,0.9996,1
128.0,-13.6298,124.7375,1.0075,1
129.0,-14.2853,125.4926,1.0154,1
130.0,-14.9540,126.2362,1.0232,1
131.0,-15.6356,126.9678,1.0311,1
132.0,-16.3300,127.6875,1.0390,1
133.0,-17.0369,128.3948,1.0469,1
134.0,-17.7560,129.0896,1.0547,1
135.0,-18.4873,129.7717,1.0626,1
136.0,-19.2304,130.4408,1.0705,1
137.0,-19.9851,131.0968,1.0783,1
138.0,-20.7513,131.7395,1.0862,1
139.0,-21.5286,132.3686,1.0941,1
140.0,-22.3168,132.9840,1.1020,1
141.0,-23.1156,133.5855,1.1098,1
142.0,-23.9249,134.1729,1.1177,1
143.0,-24.7444,134.7460,1.1256,1
144.0,-25.5738,135.3046,1.1334,1
145.0,-26.4129,135.8486,1.1413,1
146.0,-27.2614,136.3777,1.1492,1
147.0,-28.1191,136.8920,1.1571,1
148.0,-28.9856,137.3910,1.1649,1
149.0,-29.8608,137.8748,1.1728,1
150.0,-30.7443,138.3432,1.1807,1
151.0,-31.6359,138.7960,1.1885,1
152.0,-32.5353,139.2331,1.1964,1
153.0,-33.4422,139.6544,1.2043,1
154.0,-34.3564,140.0597,1.2122,1
155.0,-35.2775,140.4488,1.2200,1
156.0,-36.2054,140.8218,1.2279,1
157.0,-37.1396,141.1784,1.2358,1
158.0,-38.0799,141.5186,1.2436,1
159.0,-39.0261,141.8422,1.2515,1
160.0,-39.9778,142.1492,1.2594,1
161.0,-40.9348,142.4395,1.2673,1
162.0,-41.8966,142.7129,1.2751,1
163.0,-42.8632,142.9694,1.2830,1
164.0,-43.8341,143.2089,1.2909,1
165.0,-44.8090,143.4313,1.2987,1
166.0,-45.7877,143.6366,1.3066,1
167.0,-46.7698,143.8247,1.3145,1
168.0,-47.7551,143.9955,1.3224,1
169.0,-48.7432,144.1490,1.3302,1
170.0,-49.7339,144.2852,1.3381,1
171.0,-50.7268,144.4039,1.3460,1
172.0,-51.7217,144.5052,1.3538,1
173.0,-52.7181,144.5891,1.3617,1
174.0,-53.7159,144.6555,1.3696,1
175.0,-54.7147,144.7043,1.3775,1
176.0,-55.7142,144.7356,1.3853,1
177.0,-56.7141,144.7494,1.3932,1
178.0,-57.7141,144.7456,1.4011,1
179.0,-58.7138,144.7243,1.4089,1
180.0,-59.7131,144.6855,1.4168,1
181.0,-60.7115,144.6291,1.4247,1
182.0,-61.7087,144.5553,1.4325,1
183.0,-62.7045,144.4639,1.4404,1
184.0,-63.6986,144.3551,1.4483,1
185.0,-64.6906,144.2289,1.4562,1
186.0,-65.6802,144.0852,1.4640,1
187.0,-66.6671,143.9243,1.4719,1
188.0,-67.6511,143.7460,1.4798,1
189.0,-68.6318,143.5506,1.4876,1
190.0,-69.6089,143.3379,1.4955,1
191.0,-70.5821,143.1082,1.5034,1
192.0,-71.5512,142.8614,1.5113,1
193.0,-72.5158,142.5976,1.5191,1
194.0,-73.4756,142.3170,1.5270,1
195.0,-74.4303,142.0195,1.5349,1
196.0,-75.3796,141.7054,1.5427,1
197.0,-76.3234,141.3746,1.5506,1
198.0,-77.2630,141.0326,1.5585,2
199.0,-78.2027,140.6906,1.5664,2
200.0,-79.1424,140.3486,1.5742,2
201.0,-80.0821,140.0066,1.5821,2
202.0,-81.0218,139.6645,1.5900,2
203.0,-81.9615,139.3225,1.5978,2
204.0,-82.9012,138.9805,1.6057,2
205.0,-83.8409,138.6385,1.6136,2
206.0,-84.7806,138.2965,1.6215,2
207.0,-85.7203,137.9544,1.6293,2
208.0,-86.6600,137.6124,1.6372,2
209.0,-87.5997,137.2704,1.6451,2
210.0,-88.5394,136.9284,1.6529,2
211.0,-89.4790,136.5864,1.6606,2
212.0,-90.4187,136.2443,1.6677,2
213.0,-91.3584,135.9023,1.6744,2
214.0,-92.2981,135.5603,1.6804,2
215.0,-93.2378,135.2183,1.6860,2
216.0,-94.1775,134.8763,1.6910,2
217.0,-95.1172,134.5342,1.6956,2
218.0,-96.0569,134.1922,1.6995,2
219.0,-96.9966,133.8502,1.7030,2
220.0,-97.9363,133.5082,1.7059,2
221.0,-98.8760,133.1662,1.7083,2
222.0,-99.8157,132.8241,1.7102,2
223.0,-100.7554,132.4821,1.7116,2
224.0,-101.6951,132.1401,1.7124,2
225.0,-102.6347,131.7981,1.7127,2
226.0,-103.5744,131.4561,1.7125,2
227.0,-104.5141,131.1140,1.7117,2
228.0,-105.4538,130.7720,1.7104,2
229.0,-106.3935,130.4300,1.7086,2
230.0,-107.3332,130.0880,1.7063,2
231.0,-108.2729,129.7460,1.7034,2
232.0,-109.2126,129.4039,1.7000,2
233.0,-110.1523,129.0619,1.6961,2
234.0,-111.0920,128.7199,1.6917,2
235.0,-112.0317,128.3779,1.6867,2
236.0,-112.9714,128.0359,1.6812,2
237.0,-113.9111,127.6938,1.6752,2
238.0,-114.8508,127.3518,1.6687,2
239.0,-115.7904,127.0098,1.6616,2
240.0,-116.7301,126.6678,1.6540,2
241.0,-117.6698,126.3258,1.6459,2
242.0,-118.6095,125.9837,1.6373,2
243.0,-119.5492,125.6417,1.6281,2
244.0,-120.4889,125.2997,1.6184,2
245.0,-121.4286,124.9577,1.6082,2
246.0,-122.3683,124.6157,1.5974,2
247.0,-123.3080,124.2736,1.5861,2
248.0,-124.2477,123.9316,1.5743,2
249.0,-125.1874,123.5896,1.5620,2
250.0,-126.1271,123.2476,1.5491,2
251.0,-127.0668,122.9056,1.5357,2
252.0,-128.0064,122.5635,1.5218,2
253.0,-128.9461,122.2215,1.5074,2
254.0,-129.8858,121.8795,1.4924,2
255.0,-130.8255,121.5375,1.4769,2
256.0,-131.7652,121.1955,1.4609,2
257.0,-132.7049,120.8534,1.4444,2
258.0,-133.6446,120.5114,1.4273,2
259.0,-134.5843,120.1694,1.4097,2
260.0,-135.5240,119.8274,1.3916,2
261.0,-136.4637,119.4854,1.3730,2
262.0,-137.4034,119.1433,1.3538,3
263.0,-138.3431,118.8013,1.3341,3
264.0,-139.2828,118.4593,1.3139,3
265.0,-140.2225,118.1173,1.2931,3
266.0,-141.1621,117.7753,1.2718,3
267.0,-142.1018,117.4332,1.2500,3
268.0,-143.0415,117.0912,1.2277,3
269.0,-143.9812,116.7492,1.2048,3
270.0,-144.9209,116.4072,1.1814,3
271.0,-145.8606,116.0652,1.1575,3
272.0,-146.8003,115.7231,1.1331,3
273.0,-147.7400,115.3811,1.1081,3
274.0,-148.6797,115.0391,1.0826,3
275.0,-149.6194,114.6971,1.0566,3
276.0,-150.5591,114.3550,1.0301,3
277.0,-151.4988,114.0130,1.0030,3
278.0,-152.4385,113.6710,0.9754,3
279.0,-153.3781,113.3290,0.9473,3
280.0,-154.3178,112.9870,0.9187,3
281.0,-155.2575,112.6449,0.8895,3
282.0,-156.1972,112.3029,0.8598,3
283.0,-157.1369,111.9609,0.8296,3
284.0,-158.0766,111.6189,0.7988,3
285.0,-159.0163,111.2769,0.7675,3
286.0,-159.9560,110.9348,0.7357,3
287.0,-160.8957,110.5928,0.7034,3
288.0,-161.8354,110.2508,0.6705,3
289.0,-162.7751,109.9088,0.6371,3
290.0,-163.7148,109.5668,0.6032,3
291.0,-164.6545,109.2247,0.5688,3
292.0,-165.5942,108.8827,0.5338,3
293.0,-166.5338,108.5407,0.4983,3
294.0,-167.4735,108.1987,0.4623,3
295.0,-168.4132,107.8567,0.4258,3
296.0,-169.3529,107.5146,0.3887,3
297.0,-170.2926,107.1726,0.3511,3
298.0,-171.2323,106.8306,0.3130,3
299.0,-172.1720,106.4886,0.2744,3
300.0,-173.1117,106.1466,0.2352,3
301.0,-174.0514,105.8045,0.1955,3
302.0,-174.9911,105.4625,0.1553,3
303.0,-175.9308,105.1205,0.1145,3
304.0,-176.8705,104.7785,0.0732,3
305.0,-177.8102,104.4365,0.0314,3
306.0,-178.7498,104.0944,-0.0109,3
307.0,-179.6895,103.7524,-0.0538,3
308.0,-180.6292,103.4104,-0.0972,3
309.0,-181.5689,103.0684,-0.1411,3
310.0,-182.5086,102.7264,-0.1855,3
311.0,-183.4483,102.3843,-0.2305,3
312.0,-184.3880,102.0423,-0.2760,3
313.0,-185.3277,101.7003,-0.3219,3
314.0,-186.2674,101.3583,-0.3679,3
315.0,-187.2071,101.0163,-0.4139,3
316.0,-188.1468,100.6742,-0.4599,3
317.0,-189.0865,100.3322,-0.5059,3
318.0,-190.0262,99.9902,-0.5519,3
319.0,-190.9659,99.6482,-0.5979,3
320.0,-191.9055,99.3062,-0.6439,3
321.0,-192.8452,98.9641,-0.6899,3
322.0,-193.7849,98.6221,-0.7359,3
323.0,-194.7246,98.2801,-0.7819,3
324.0,-195.6643,97.9381,-0.8279,3
325.0,-196.6040,97.5961,-0.8739,3
326.0,-197.5484,97.2674,-0.9199,4
327.0,-198.5004,96.9614,-0.9659,4
328.0,-199.4594,96.6781,-1.0119,4
329.0,-200.4249,96.4177,-1.0579,4
330.0,-201.3963,96.1803,-1.1039,4
331.0,-202.3730,95.9662,-1.1499,4
332.0,-203.3546,95.7754,-1.1959,4
333.0,-204.3405,95.6080,-1.2419,4
334.0,-205.3301,95.4641,-1.2879,4
335.0,-206.3228,95.3438,-1.3339,4
336.0,-207.3181,95.2472,-1.3799,4
337.0,-208.3154,95.1743,-1.4259,4
338.0,-209.3141,95.1251,-1.4719,4
339.0,-210.3138,95.0998,-1.5179,4
340.0,-211.3137,95.0983,-1.5639,4
341.0,-212.3135,95.1205,-1.6099,4
342.0,-213.3124,95.1666,-1.6559,4
343.0,-214.3099,95.2364,-1.7019,4
344.0,-215.3055,95.3300,-1.7479,4
345.0,-216.2986,95.4472,-1.7939,4
346.0,-217.2886,95.5881,-1.8399,4
347.0,-218.2749,95.7524,-1.8859,4
348.0,-219.2571,95.9403,-1.9319,4
349.0,-220.2345,96.1514,-1.9779,4
350.0,-221.2067,96.3857,-2.0239,4
351.0,-222.1729,96.6432,-2.0699,4
352.0,-223.1328,96.9235,-2.1159,4
353.0,-224.0857,97.2267,-2.1619,4
354.0,-225.0312,97.5524,-2.2079,4
355.0,-225.9686,97.9005,-2.2539,4
356.0,-226.8974,98.2709,-2.2999,4
357.0,-227.8172,98.6633,-2.3459,4
358.0,-228.7274,99.0774,-2.3919,4
359.0,-229.6274,99.5132,-2.4379,4
360.0,-230.5169,99.9702,-2.4839,4
361.0,-231.3952,100.4482,-2.5299,4
362.0,-232.2618,100.9471,-2.5759,4
363.0,-233.1164,101.4664,-2.6219,4
364.0,-233.9583,102.0059,-2.6679,4
365.0,-234.7872,102.5653,-2.7139,4
366.0,-235.6025,103.1443,-2.7599,4
367.0,-236.4038,103.7426,-2.8059,4
368.0,-237.1906,104.3597,-2.8519,4
369.0,-237.9625,104.9954,-2.8979,4
370.0,-238.7191,105.6493,-2.9439,4
371.0,-239.4599,106.3210,-2.9899,4
372.0,-240.1844,107.0102,-3.0359,4
373.0,-240.8924,107.7164,-3.0819,4
374.0,-241.5833,108.4393,-3.1279,4
375.0,-242.2569,109.1784,-3.1739,4
376.0,-242.9126,109.9334,-3.2199,4
377.0,-243.5502,110.7038,-3.2659,4
378.0,-244.1692,111.4891,-3.3119,4
379.0,-244.7694,112.2890,-3.3579,4
380.0,-245.3504,113.1029,-3.4039,4
381.0,-245.9118,113.9304,-3.4499,4
382.0,-246.4533,114.7710,-3.4959,4
383.0,-246.9747,115.6243,-3.5419,4
384.0,-247.4757,116.4898,-3.5879,4
385.0,-247.9559,117.3669,-3.6339,4
386.0,-248.4150,118.2552,-3.6799,4
387.0,-248.8529,119.1542,-3.7259,4
388.0,-249.2755,120.0605,-3.7719,5
389.0,-249.6981,120.9668,-3.8179,5
390.0,-250.1208,121.8731,-3.8639,5
391.0,-250.5434,122.7795,-3.9099,5
392.0,-250.9660,123.6858,-3.9559,5
393.0,-251.3886,124.5921,-4.0019,5
394.0,-251.8112,125.4984,-4.0479,5
395.0,-252.2339,126.4047,-4.0939,5
396.0,-252.6565,127.3110,-4.1399,5
397.0,-253.0791,128.2173,-4.1859,5
398.0,-253.5017,129.1236,-4.2319,5
399.0,-253.9243,130.0299,-4.2779,5
400.0,-254.3469,130.9362,-4.3239,5
401.0,-254.7696,131.8425,-4.3699,5
402.0,-255.1922,132.7488,-4.4159,5
403.0,-255.6148,133.6552,-4.4619,5
404.0,-256.0374,134.5615,-4.5079,5
405.0,-256.4600,135.4678,-4.5539,5
406.0,-256.8827,136.3741,-4.5999,5
407.0,-257.3053,137.2804,-4.6459,5
408.0,-257.7279,138.1867,-4.6919,5
409.0,-258.1505,139.0930,-4.7379,5
410.0,-258.5731,139.9993,-4.7839,5
411.0,-258.9957,140.9056,-4.8299,5
412.0,-259.4184,141.8119,-4.8759,5
413.0,-259.8410,142.7182,-4.9219,5
414.0,-260.2636,143.6245,-4.9679,5
415.0,-260.6862,144.5308,-5.0139,5
416.0,-261.1088,145.4372,-5.0599,5
417.0,-261.5315,146.3435,-5.1059,5
418.0,-261.9541,147.2498,-5.1519,5
419.0,-262.3767,148.1561,-5.1979,5
420.0,-262.7993,149.0624,-5.2439,5
421.0,-263.2219,149.9687,-5.2899,5
422.0,-263.6445,150.8750,-5.3359,5
423.0,-264.0672,151.7813,-5.3819,5
424.0,-264.4898,152.6876,-5.4279,5
425.0,-264.9124,153.5939,-5.4739,5
426.0,-265.3350,154.5002,-5.5199,5
427.0,-265.7576,155.4065,-5.5659,5
428.0,-266.1803,156.3128,-5.6119,5
429.0,-266.6029,157.2192,-5.6579,5
430.0,-267.0255,158.1255,-5.7039,5
431.0,-267.4481,159.0318,-5.7499,5
432.0,-267.8707,159.9381,-5.7959,5
433.0,-268.2934,160.8444,-5.8419,5
434.0,-268.7160,161.7507,-5.8879,5
435.0,-269.1386,162.6570,-5.9339,5
436.0,-269.5612,163.5633,-5.9799,5
437.0,-269.9838,164.4696,-6.0259,5
438.0,-270.4064,165.3759,-6.0719,5
439.0,-270.8291,166.2822,-6.1179,5
440.0,-271.2517,167.1885,-6.1639,5
441.0,-271.6743,168.0948,-6.2099,5
442.0,-272.0969,169.0012,-6.2559,5
443.0,-272.5195,169.9075,-6.3019,5
444.0,-272.9422,170.8138,-6.3479,5
445.0,-273.3648,171.7201,-6.3939,5
446.0,-273.7874,172.6264,-6.4399,5
447.0,-274.2100,173.5327,-6.4859,5
448.0,-274.6326,174.4390,-6.5319,5
449.0,-275.0552,175.3453,-6.5779,5
450.0,-275.4779,176.2516,-6.6239,5
451.0,-275.9005,177.1579,-6.6699,5
452.0,-276.3231,178.0642,-6.7159,5
453.0,-276.7457,178.9705,-6.7619,6
454.0,-277.1683,179.8768,-6.8079,6
455.0,-277.5910,180.7832,-6.8539,6
456.0,-278.0136,181.6895,-6.8999,6
457.0,-278.4362,182.5958,-6.9459,6
458.0,-278.8588,183.5021,-6.9919,6
459.0,-279.2814,184.4084,-7.0379,6
460.0,-279.7040,185.3147,-7.0839,6
461.0,-280.1267,186.2210,-7.1299,6
462.0,-280.5493,187.1273,-7.1759,6
463.0,-280.9719,188.0336,-7.2219,6
464.0,-281.3945,188.9399,-7.2679,6
465.0,-281.8171,189.8462,-7.3139,6
466.0,-282.2398,190.7525,-7.3599,6
467.0,-282.6624,191.6588,-7.4059,6
468.0,-283.0850,192.5652,-7.4519,6
469.0,-283.5076,193.4715,-7.4979,6
470.0,-283.9302,194.3778,-7.5439,6
471.0,-284.3528,195.2841,-7.5899,6
472.0,-284.7755,196.1904,-7.6359,6
473.0,-285.1981,197.0967,-7.6819,6
474.0,-285.6207,198.0030,-7.7279,6
475.0,-286.0433,198.9093,-7.7739,6
476.0,-286.4659,199.8156,-7.8199,6
477.0,-286.8886,200.7219,-7.8659,6
478.0,-287.3112,201.6282,-7.9119,6
479.0,-287.7338,202.5345,-7.9579,6
480.0,-288.1564,203.4409,-8.0039,6
481.0,-288.5790,204.3472,-8.0499,6
482.0,-289.0016,205.2535,-8.0959,6
483.0,-289.4243,206.1598,-8.1419,6
484.0,-289.8469,207.0661,-8.1879,6
485.0,-290.2695,207.9724,-8.2339,6
486.0,-290.6921,208.8787,-8.2799,6
487.0,-291.1147,209.7850,-8.3259,6
488.0,-291.5374,210.6913,-8.3719,6
489.0,-291.9600,211.5976,-8.4179,6
490.0,-292.3826,212.5039,-8.4639,6
491.0,-292.8052,213.4102,-8.5099,6
492.0,-293.2278,214.3165,-8.5559,6
493.0,-293.6504,215.2229,-8.6019,6
494.0,-294.0731,216.1292,-8.6479,6
495.0,-294.4957,217.0355,-8.6939,6
496.0,-294.9183,217.9418,-8.7399,6
497.0,-295.3409,218.8481,-8.7859,6
498.0,-295.7635,219.7544,-8.8319,6
499.0,-296.1862,220.6607,-8.8779,6
500.0,-296.6088,221.5670,-8.9239,6
501.0,-297.0314,222.4733,-8.9699,6
502.0,-297.4540,223.3796,-9.0159,6
503.0,-297.8766,224.2859,-9.0619,7
504.0,-298.2992,225.1922,-9.1079,7
505.0,-298.7219,226.0985,-9.1539,7
506.0,-299.1445,227.0049,-9.1999,7
507.0,-299.5671,227.9112,-9.2459,7
508.0,-299.9897,228.8175,-9.2919,7
509.0,-300.4123,229.7238,-9.3379,7
510.0,-300.8350,230.6301,-9.3839,7
511.0,-301.2576,231.5364,-9.4299,7
512.0,-301.6802,232.4427,-9.4759,7
513.0,-302.1028,233.3490,-9.5219,7
514.0,-302.5254,234.2553,-9.5679,7
515.0,-302.9480,235.1616,-9.6139,7
516.0,-303.3707,236.0679,-9.6599,7
517.0,-303.7933,236.9742,-9.7059,7
518.0,-304.2159,237.8805,-9.7519,7
519.0,-304.6385,238.7869,-9.7979,7
520.0,-305.0611,239.6932,-9.8439,7
521.0,-305.4838,240.5995,-9.8899,7
522.0,-305.9064,241.5058,-9.9359,7
523.0,-306.3290,242.4121,-9.9819,7
524.0,-306.7516,243.3184,-10.0279,7
525.0,-307.1742,244.2247,-10.0739,7
526.0,-307.5968,245.1310,-10.1199,7
527.0,-308.0195,246.0373,-10.1659,7
528.0,-308.4764,246.9265,-10.2119,8
529.0,-308.9916,247.7833,-10.2579,8
530.0,-309.5627,248.6038,-10.3039,8
531.0,-310.1872,249.3845,-10.3499,8
532.0,-310.8624,250.1218,-10.3959,8
533.0,-311.5851,250.8126,-10.4413,8
534.0,-312.3522,251.4536,-10.4844,8
535.0,-313.1604,252.0421,-10.5249,8
536.0,-314.0060,252.5755,-10.5630,8
537.0,-314.8852,253.0513,-10.5986,8
538.0,-315.7941,253.4676,-10.6317,8
539.0,-316.7288,253.8223,-10.6623,8
540.0,-317.6850,254.1140,-10.6904,8
541.0,-318.6586,254.3414,-10.7160,8
542.0,-319.6451,254.5034,-10.7391,8
543.0,-320.6402,254.5993,-10.7597,8
544.0,-321.6395,254.6287,-10.7778,8
545.0,-322.6385,254.5915,-10.7934,8
546.0,-323.6328,254.4878,-10.8065,8
547.0,-324.6180,254.3181,-10.8171,8
548.0,-325.5898,254.0831,-10.8251,8
549.0,-326.5437,253.7839,-10.8307,8
550.0,-327.4755,253.4219,-10.8338,8
551.0,-328.3812,252.9986,-10.8344,9
552.0,-329.2567,252.5159,-10.8325,9
553.0,-330.0980,251.9759,-10.8281,9
554.0,-330.9015,251.3811,-10.8212,9
555.0,-331.6636,250.7341,-10.8118,9
556.0,-332.3810,250.0377,-10.7999,9
557.0,-333.0503,249.2951,-10.7855,9
558.0,-333.6687,248.5096,-10.7686,9
559.0,-334.2333,247.6846,-10.7492,9
560.0,-334.7418,246.8238,-10.7273,9
561.0,-335.1918,245.9311,-10.7028,9
562.0,-335.5813,245.0104,-10.6759,9
563.0,-335.9086,244.0658,-10.6465,9
564.0,-336.1723,243.1015,-10.6146,9
565.0,-336.3711,242.1217,-10.5802,9
566.0,-336.5043,241.1309,-10.5433,9
567.0,-336.5711,240.1334,-10.5039,9
568.0,-336.5713,239.1337,-10.4620,9
569.0,-336.5049,238.1362,-10.4176,9
570.0,-336.3723,237.1453,-10.3717,9
571.0,-336.1739,236.1654,-10.3257,9
572.0,-335.9107,235.2010,-10.2797,9
573.0,-335.5838,234.2562,-10.2337,9
574.0,-335.1947,233.3353,-10.1877,9
575.0,-334.7721,232.4290,-10.1417,10
576.0,-334.3494,231.5227,-10.0957,10
577.0,-333.9268,230.6164,-10.0497,10
578.0,-333.5042,229.7101,-10.0037,10
579.0,-333.0816,228.8038,-9.9577,10
580.0,-332.6590,227.8975,-9.9117,10
581.0,-332.2364,226.9912,-9.8657,10
582.0,-331.8137,226.0848,-9.8197,10
583.0,-331.3911,225.1785,-9.7737,10
584.0,-330.9685,224.2722,-9.7277,10
585.0,-330.5459,223.3659,-9.6817,10
586.0,-330.1233,222.4596,-9.6357,10
587.0,-329.7006,221.5533,-9.5897,10
588.0,-329.2780,220.6470,-9.5437,10
589.0,-328.8554,219.7407,-9.4977,10
590.0,-328.4328,218.8344,-9.4517,10
591.0,-328.0102,217.9281,-9.4057,10
592.0,-327.5876,217.0218,-9.3597,10
593.0,-327.1649,216.1155,-9.3137,10
594.0,-326.7423,215.2092,-9.2677,10
595.0,-326.3197,214.3028,-9.2217,10
596.0,-325.8971,213.3965,-9.1757,10
597.0,-325.4745,212.4902,-9.1297,10
598.0,-325.0518,211.5839,-9.0837,10
599.0,-324.6292,210.6776,-9.0377,10
600.0,-324.2066,209.7713,-8.9917,10
601.0,-323.7840,208.8650,-8.9457,10
602.0,-323.3614,207.9587,-8.8997,10
603.0,-322.9388,207.0524,-8.8537,10
604.0,-322.5161,206.1461,-8.8077,10
605.0,-322.0935,205.2398,-8.7617,10
606.0,-321.6709,204.3335,-8.7157,10
607.0,-321.2483,203.4272,-8.6697,10
608.0,-320.8257,202.5208,-8.6237,10
609.0,-320.4030,201.6145,-8.5777,10
610.0,-319.9804,200.7082,-8.5317,10
611.0,-319.5578,199.8019,-8.4857,10
612.0,-319.1352,198.8956,-8.4397,10
613.0,-318.7126,197.9893,-8.3937,10
614.0,-318.2899,197.0830,-8.3477,10
615.0,-317.8673,196.1767,-8.3017,10
616.0,-317.4447,195.2704,-8.2557,10
617.0,-317.0221,194.3641,-8.2097,10
618.0,-316.5995,193.4578,-8.1637,10
619.0,-316.1769,192.5515,-8.1177,10
620.0,-315.7542,191.6452,-8.0717,10
621.0,-315.3316,190.7388,-8.0257,10
622.0,-314.9090,189.8325,-7.9797,10
