distance_m,speed_kmh,gear,lateral_g
124.0,134.53,6,1.860
125.0,134.53,6,1.860
126.0,134.53,6,1.860
127.0,134.53,6,1.860
128.0,134.53,6,1.860
129.0,134.53,6,1.860
130.0,134.53,6,1.860
131.0,134.53,6,1.860
132.0,134.53,6,1.860
133.0,134.53,6,1.860
134.0,134.53,6,1.860
135.0,134.53,6,1.860
136.0,134.53,6,1.860
137.0,134.53,6,1.860
138.0,134.53,6,1.860
139.0,134.53,6,1.860
140.0,134.53,6,1.860
141.0,134.53,6,1.860
142.0,134.53,6,1.860
143.0,134.53,6,1.860
144.0,134.53,6,1.860
145.0,134.53,6,1.860
146.0,134.53,6,1.860
147.0,134.53,6,1.860
148.0,134.53,6,1.860
149.0,134.53,6,1.860
150.0,134.53,6,1.860
151.0,134.53,6,1.860
152.0,134.53,6,1.860
153.0,134.53,6,1.860
154.0,134.53,6,1.860
155.0,134.53,6,1.860
156.0,134.53,6,1.860
157.0,134.53,6,1.860
158.0,134.53,6,1.860
159.0,134.53,6,1.860
160.0,134.53,6,1.860
161.0,134.53,6,1.860
162.0,134.53,6,1.860
163.0,134.53,6,1.860
164.0,134.53,6,1.860
165.0,134.53,6,1.860
166.0,134.53,6,1.860
167.0,134.53,6,1.860
168.0,134.53,6,1.860
169.0,134.53,6,1.860
170.0,134.53,6,1.860
171.0,134.53,6,1.860
172.0,134.53,6,1.860
173.0,134.53,6,1.860
174.0,134.53,6,1.860
175.0,134.53,6,1.860
176.0,134.53,6,1.860
177.0,134.53,6,1.860
178.0,134.53,6,1.860
179.0,134.53,6,1.860
180.0,134.53,6,1.860
181.0,134.53,6,1.860
182.0,134.53,6,1.860
183.0,134.53,6,1.860
184.0,134.53,6,1.860
185.0,134.53,6,1.860
186.0,134.53,6,1.860
187.0,134.53,6,1.860
188.0,134.53,6,1.860
189.0,134.53,6,1.860
190.0,134.53,6,1.860
191.0,134.53,6,1.860
192.0,134.53,6,1.860
193.0,134.53,6,1.860
194.0,134.53,6,1.860
195.0,134.53,6,1.860
196.0,134.53,6,1.860
197.0,134.53,6,0.001
198.0,134.58,6,0.000
199.0,134.66,6,0.000
200.0,134.74,6,0.000
201.0,134.83,6,0.000
202.0,134.91,6,0.000
203.0,134.99,6,0.000
204.0,135.07,6,0.000
205.0,135.15,6,0.000
206.0,135.23,6,0.000
207.0,135.31,6,0.000
208.0,135.38,6,0.000
209.0,135.46,6,0.000
210.0,135.53,6,0.000
211.0,135.61,6,0.000
212.0,135.68,6,0.000
213.0,135.76,6,0.000
214.0,135.83,6,0.000
215.0,135.90,6,0.000
216.0,135.97,6,0.000
217.0,136.04,6,0.000
218.0,136.11,6,0.000
219.0,136.18,6,0.000
220.0,136.25,6,0.000
221.0,136.31,6,0.000
222.0,136.38,6,0.000
223.0,136.45,6,0.000
224.0,136.51,6,0.000
225.0,136.58,6,0.000
226.0,136.64,6,0.000
227.0,136.71,6,0.000
228.0,136.77,6,0.000
229.0,136.83,6,0.000
230.0,136.89,6,0.000
231.0,136.95,6,0.000
232.0,137.01,6,0.000
233.0,137.07,6,0.000
234.0,137.13,6,0.000
235.0,137.19,6,0.000
236.0,137.25,6,0.000
237.0,137.31,6,0.000
238.0,137.36,6,0.000
239.0,137.42,6,0.000
240.0,137.48,6,0.000
241.0,137.53,6,0.000
242.0,137.59,6,0.000
243.0,137.64,6,0.000
244.0,137.69,6,0.000
245.0,137.75,6,0.000
246.0,137.80,6,0.000
247.0,137.85,6,0.000
248.0,137.90,6,0.000
249.0,137.95,6,0.000
250.0,138.00,6,0.000
251.0,138.05,6,0.000
252.0,138.10,6,0.000
253.0,138.15,6,0.000
254.0,138.20,6,0.000
255.0,138.25,6,0.000
256.0,138.30,6,0.000
257.0,138.34,6,0.000
258.0,138.39,6,0.000
259.0,138.44,6,0.000
260.0,138.48,6,0.000
261.0,138.53,6,0.000
262.0,138.61,6,0.000
263.0,138.70,6,0.000
264.0,138.79,6,0.000
265.0,138.89,6,0.000
266.0,138.98,6,0.000
267.0,139.07,6,0.000
268.0,139.15,6,0.000
269.0,139.24,6,0.000
270.0,139.33,6,0.000
271.0,139.42,6,0.000
272.0,139.50,6,0.000
273.0,139.58,6,0.000
274.0,139.67,6,0.000
275.0,139.75,6,0.000
276.0,139.83,6,0.000
277.0,139.91,6,0.000
278.0,139.99,6,0.000
279.0,140.07,6,0.000
280.0,140.15,6,0.000
281.0,140.23,6,0.000
282.0,140.31,6,0.000
283.0,140.38,6,0.000
284.0,140.46,6,0.000
285.0,140.53,6,0.000
286.0,140.61,6,0.000
287.0,140.68,6,0.000
288.0,140.75,6,0.000
289.0,140.82,6,0.000
290.0,140.89,6,0.000
291.0,140.96,6,0.000
292.0,141.03,6,0.000
293.0,141.10,6,0.000
294.0,141.17,6,0.000
295.0,141.24,6,0.000
296.0,141.31,6,0.000
297.0,141.37,6,0.000
298.0,141.44,6,0.000
299.0,141.50,6,0.000
300.0,141.57,6,0.000
301.0,141.63,6,0.000
302.0,141.69,6,0.000
303.0,141.75,6,0.000
304.0,141.82,6,0.000
305.0,141.88,6,0.000
306.0,141.94,6,0.000
307.0,142.00,6,0.000
308.0,142.06,6,0.000
309.0,142.12,6,0.000
310.0,142.17,6,0.000
311.0,142.23,6,0.000
312.0,142.29,6,0.000
313.0,142.34,6,0.000
314.0,142.40,6,0.000
315.0,142.46,6,0.000
316.0,142.01,6,0.000
317.0,140.59,6,0.000
318.0,139.16,6,0.000
319.0,137.71,6,0.000
320.0,136.25,6,0.000
321.0,134.77,6,0.000
322.0,133.28,6,0.000
323.0,131.76,6,0.000
324.0,130.24,6,0.000
325.0,129.09,6,0.000
326.0,129.04,6,1.860
327.0,129.04,6,1.860
328.0,129.04,6,1.860
329.0,129.04,6,1.860
330.0,129.04,6,1.860
331.0,129.04,6,1.860
332.0,129.04,6,1.860
333.0,129.04,6,1.860
334.0,129.04,6,1.860
335.0,129.04,6,1.860
336.0,129.04,6,1.860
337.0,129.04,6,1.860
338.0,129.04,6,1.860
339.0,129.04,6,1.860
340.0,129.04,6,1.860
341.0,129.04,6,1.860
342.0,129.04,6,1.860
343.0,129.04,6,1.860
344.0,129.04,6,1.860
345.0,129.04,6,1.860
346.0,129.04,6,1.860
347.0,129.04,6,1.860
348.0,129.04,6,1.860
349.0,129.04,6,1.860
350.0,129.04,6,1.860
351.0,129.04,6,1.860
352.0,129.04,6,1.860
353.0,129.04,6,1.860
354.0,129.04,6,1.860
355.0,129.04,6,1.860
356.0,129.04,6,1.860
357.0,129.04,6,1.860
358.0,129.04,6,1.860
359.0,129.04,6,1.860
360.0,129.04,6,1.860
361.0,129.04,6,1.860
362.0,129.04,6,1.860
363.0,129.04,6,1.860
364.0,129.04,6,1.860
365.0,129.04,6,1.860
366.0,129.04,6,1.860
367.0,129.04,6,1.860
368.0,129.04,6,1.860
369.0,129.04,6,1.860
370.0,129.04,6,1.860
371.0,129.04,6,1.860
372.0,129.04,6,1.860
373.0,129.04,6,1.860
374.0,129.04,6,1.860
375.0,129.04,6,1.860
376.0,129.04,6,1.860
377.0,129.04,6,1.860
378.0,129.04,6,1.860
379.0,129.04,6,1.860
380.0,129.04,6,1.860
381.0,129.04,6,1.860
382.0,129.04,6,1.860
383.0,129.04,6,1.860
384.0,129.04,6,1.860
385.0,129.04,6,1.860
386.0,129.04,6,1.860
387.0,129.04,6,0.002
388.0,129.14,6,0.000
389.0,129.33,6,0.000
390.0,129.53,6,0.000
391.0,129.71,6,0.000
392.0,129.90,6,0.000
393.0,130.09,6,0.000
394.0,130.27,6,0.000
395.0,130.45,6,0.000
396.0,130.63,6,0.000
397.0,130.81,6,0.000
398.0,130.98,6,0.000
399.0,131.16,6,0.000
400.0,131.33,6,0.000
401.0,131.50,6,0.000
402.0,131.66,6,0.000
403.0,131.83,6,0.000
404.0,131.99,6,0.000
405.0,132.16,6,0.000
406.0,132.32,6,0.000
407.0,132.48,6,0.000
408.0,132.63,6,0.000
409.0,132.79,6,0.000
410.0,132.94,6,0.000
411.0,133.10,6,0.000
412.0,133.25,6,0.000
413.0,133.40,6,0.000
414.0,133.54,6,0.000
415.0,133.69,6,0.000
416.0,133.83,6,0.000
417.0,133.98,6,0.000
418.0,134.12,6,0.000
419.0,134.26,6,0.000
420.0,134.40,6,0.000
421.0,134.53,6,0.000
422.0,134.67,6,0.000
423.0,134.80,6,0.000
424.0,134.93,6,0.000
425.0,135.07,6,0.000
426.0,135.20,6,0.000
427.0,135.32,6,0.000
428.0,135.45,6,0.000
429.0,135.58,6,0.000
430.0,135.70,6,0.000
431.0,135.83,6,0.000
432.0,135.95,6,0.000
433.0,136.07,6,0.000
434.0,136.19,6,0.000
435.0,136.31,6,0.000
436.0,136.42,6,0.000
437.0,136.54,6,0.000
438.0,136.65,6,0.000
439.0,136.77,6,0.000
440.0,136.88,6,0.000
441.0,136.99,6,0.000
442.0,137.10,6,0.000
443.0,137.21,6,0.000
444.0,137.32,6,0.000
445.0,137.42,6,0.000
446.0,137.53,6,0.000
447.0,137.63,6,0.000
448.0,137.74,6,0.000
449.0,137.84,6,0.000
450.0,137.94,6,0.000
451.0,138.04,6,0.000
452.0,138.14,6,0.000
453.0,138.24,6,0.000
454.0,138.33,6,0.000
455.0,138.43,6,0.000
456.0,138.52,6,0.000
457.0,138.62,6,0.000
458.0,138.71,6,0.000
459.0,138.80,6,0.000
460.0,138.90,6,0.000
461.0,138.99,6,0.000
462.0,139.08,6,0.000
463.0,139.16,6,0.000
464.0,139.25,6,0.000
465.0,139.34,6,0.000
466.0,139.42,6,0.000
467.0,139.51,6,0.000
468.0,139.59,6,0.000
469.0,139.68,6,0.000
470.0,139.76,6,0.000
471.0,139.84,6,0.000
472.0,139.92,6,0.000
473.0,140.00,6,0.000
474.0,140.08,6,0.000
475.0,140.16,6,0.000
476.0,140.24,6,0.000
477.0,140.31,6,0.000
478.0,140.39,6,0.000
479.0,140.47,6,0.000
480.0,140.54,6,0.000
481.0,140.61,6,0.000
482.0,140.69,6,0.000
483.0,140.76,6,0.000
484.0,140.83,6,0.000
485.0,139.88,6,0.000
486.0,138.44,6,0.000
487.0,136.99,6,0.000
488.0,135.52,6,0.000
489.0,134.03,6,0.000
490.0,132.53,6,0.000
491.0,131.01,6,0.000
492.0,129.47,6,0.000
493.0,127.91,6,0.000
494.0,126.34,5,0.000
495.0,124.74,5,0.000
496.0,123.12,5,0.000
497.0,121.49,5,0.000
498.0,119.83,5,0.000
499.0,118.14,5,0.000
500.0,116.44,5,0.000
501.0,114.70,5,0.000
502.0,112.94,5,0.000
503.0,111.15,5,0.000
504.0,109.34,4,0.000
505.0,107.49,4,0.000
506.0,105.61,4,0.000
507.0,103.70,4,0.000
508.0,101.75,4,0.000
509.0,99.76,4,0.000
510.0,97.73,4,0.000
511.0,95.66,4,0.000
512.0,93.54,4,0.000
513.0,91.37,4,0.000
514.0,89.15,3,0.000
515.0,86.88,3,0.000
516.0,84.54,3,0.000
517.0,82.14,3,0.000
518.0,79.66,3,0.000
519.0,77.11,3,0.000
520.0,74.46,3,0.000
521.0,71.72,3,0.000
522.0,68.87,2,0.000
523.0,65.90,2,0.000
524.0,62.79,2,0.000
525.0,59.51,2,0.000
526.0,56.04,2,0.000
527.0,52.54,1,0.000
528.0,51.97,1,0.998
529.0,51.97,1,0.998
530.0,51.97,1,0.998
531.0,51.97,1,0.998
532.0,51.97,1,0.998
533.0,51.97,1,0.998
534.0,51.97,1,0.998
535.0,51.97,1,0.998
536.0,51.97,1,0.998
537.0,51.97,1,0.998
538.0,51.97,1,0.998
539.0,51.97,1,0.998
540.0,51.97,1,0.998
541.0,51.97,1,0.998
542.0,51.97,1,0.998
543.0,51.97,1,0.998
544.0,51.97,1,0.998
545.0,51.97,1,0.998
546.0,51.97,1,0.998
547.0,51.97,1,0.998
548.0,51.97,1,0.998
549.0,51.97,1,0.998
550.0,51.97,1,0.998
551.0,51.97,1,0.998
552.0,51.97,1,0.998
553.0,51.97,1,0.998
554.0,51.97,1,0.998
555.0,51.97,1,0.998
556.0,51.97,1,0.998
557.0,51.97,1,0.998
558.0,51.97,1,0.998
559.0,51.97,1,0.998
560.0,51.97,1,0.998
561.0,51.97,1,0.998
562.0,51.97,1,0.998
563.0,51.97,1,0.998
564.0,51.97,1,0.998
565.0,51.97,1,0.998
566.0,51.97,1,0.998
567.0,51.97,1,0.998
568.0,51.97,1,0.998
569.0,51.97,1,0.998
570.0,51.97,1,0.998
571.0,51.97,1,0.998
572.0,51.97,1,0.998
573.0,51.97,1,0.998
574.0,52.23,1,0.000
575.0,53.67,2,0.000
576.0,55.12,2,0.000
577.0,56.52,2,0.000
578.0,57.87,2,0.000
579.0,59.19,2,0.000
580.0,60.46,2,0.000
581.0,61.69,2,0.000
582.0,62.88,2,0.000
583.0,64.05,2,0.000
584.0,65.18,2,0.000
585.0,66.28,2,0.000
586.0,67.35,2,0.000
587.0,68.40,2,0.000
588.0,69.42,2,0.000
589.0,70.42,3,0.000
590.0,71.39,3,0.000
591.0,72.35,3,0.000
592.0,73.28,3,0.000
593.0,74.19,3,0.000
594.0,75.08,3,0.000
595.0,75.95,3,0.000
596.0,76.80,3,0.000
597.0,77.64,3,0.000
598.0,78.46,3,0.000
599.0,79.26,3,0.000
600.0,80.05,3,0.000
601.0,80.82,3,0.000
602.0,81.58,3,0.000
603.0,82.32,3,0.000
604.0,83.05,3,0.000
605.0,83.77,3,0.000
606.0,84.48,3,0.000
607.0,85.17,3,0.000
608.0,85.85,3,0.000
609.0,86.52,3,0.000
610.0,87.17,3,0.000
611.0,87.82,3,0.000
612.0,88.45,3,0.000
613.0,89.08,3,0.000
614.0,89.69,3,0.000
615.0,90.30,4,0.000
616.0,90.89,4,0.000
617.0,91.48,4,0.000
618.0,92.05,4,0.000
619.0,92.62,4,0.000
620.0,93.18,4,0.000
621.0,93.73,4,0.000
622.0,94.27,4,0.000
623.0,94.80,4,0.000
624.0,95.33,4,0.000
625.0,95.84,4,0.000
626.0,96.35,4,0.000
627.0,96.85,4,0.000
628.0,97.35,4,0.000
629.0,97.84,4,0.000
630.0,98.32,4,0.000
631.0,98.79,4,0.000
632.0,99.26,4,0.000
633.0,99.72,4,0.000
634.0,100.17,4,0.000
635.0,100.62,4,0.000
636.0,101.06,4,0.000
637.0,101.49,4,0.000
638.0,101.92,4,0.000
639.0,102.35,4,0.000
640.0,102.76,4,0.000
641.0,103.18,4,0.000
642.0,103.58,4,0.000
643.0,103.98,4,0.000
644.0,104.38,4,0.000
645.0,104.77,4,0.000
646.0,105.15,4,0.000
647.0,105.53,4,0.000
648.0,105.91,4,0.000
649.0,106.28,4,0.000
650.0,106.65,4,0.000
651.0,107.01,4,0.000
652.0,107.36,4,0.000
653.0,107.71,4,0.000
654.0,108.06,4,0.000
655.0,108.40,4,0.000
656.0,108.74,4,0.000
657.0,109.08,4,0.000
658.0,109.41,4,0.000
659.0,109.73,5,0.000
660.0,110.06,5,0.000
661.0,110.37,5,0.000
662.0,110.69,5,0.000
663.0,111.00,5,0.000
664.0,111.30,5,0.000
665.0,111.61,5,0.000
666.0,111.90,5,0.000
667.0,112.20,5,0.000
668.0,112.49,5,0.000
669.0,112.78,5,0.000
670.0,113.06,5,0.000
671.0,113.35,5,0.000
672.0,113.62,5,0.000
673.0,113.90,5,0.000
674.0,114.17,5,0.000
675.0,114.44,5,0.000
676.0,114.71,5,0.000
677.0,115.01,5,0.000
678.0,115.31,5,0.000
679.0,115.61,5,0.000
680.0,115.90,5,0.000
681.0,116.19,5,0.000
682.0,116.48,5,0.000
683.0,116.76,5,0.000
684.0,117.04,5,0.000
685.0,117.32,5,0.000
686.0,117.59,5,0.000
687.0,117.86,5,0.000
688.0,118.13,5,0.000
689.0,118.39,5,0.000
690.0,118.65,5,0.000
691.0,118.91,5,0.000
692.0,119.16,5,0.000
693.0,119.41,5,0.000
694.0,119.66,5,0.000
695.0,119.90,5,0.000
696.0,120.15,5,0.000
697.0,120.39,5,0.000
698.0,120.62,5,0.000
699.0,120.86,5,0.000
700.0,121.09,5,0.000
701.0,121.32,5,0.000
702.0,121.54,5,0.000
703.0,121.77,5,0.000
704.0,121.99,5,0.000
705.0,122.21,5,0.000
706.0,122.42,5,0.000
707.0,122.64,5,0.000
708.0,122.85,5,0.000
709.0,123.06,5,0.000
710.0,123.26,5,0.000
711.0,123.47,5,0.000
712.0,123.67,5,0.000
713.0,123.87,5,0.000
714.0,124.07,5,0.000
715.0,124.26,5,0.000
716.0,124.46,5,0.000
717.0,124.65,5,0.000
718.0,124.84,5,0.000
719.0,125.02,5,0.000
720.0,125.21,5,0.000
721.0,125.12,5,0.000
722.0,123.64,5,0.000
723.0,122.07,5,0.000
724.0,120.47,5,0.000
725.0,118.85,5,0.000
726.0,117.21,5,0.000
727.0,115.55,5,0.000
728.0,113.87,5,0.000
729.0,112.15,5,0.000
730.0,110.42,5,0.000
731.0,108.65,4,0.000
732.0,106.85,4,0.000
733.0,105.03,4,0.000
734.0,103.17,4,0.000
735.0,101.49,4,0.000
736.0,101.25,4,1.712
737.0,101.25,4,1.712
738.0,101.25,4,1.712
739.0,101.25,4,1.712
740.0,101.25,4,1.712
741.0,101.25,4,1.712
742.0,101.25,4,1.712
743.0,101.25,4,1.712
744.0,101.25,4,1.712
745.0,101.25,4,1.712
746.0,101.25,4,1.712
747.0,101.25,4,1.712
748.0,101.25,4,1.712
749.0,101.25,4,1.712
750.0,101.25,4,1.712
751.0,101.25,4,1.712
752.0,101.25,4,1.712
753.0,101.25,4,1.712
754.0,101.25,4,1.712
755.0,101.25,4,1.712
756.0,101.25,4,1.712
757.0,101.25,4,1.712
758.0,101.25,4,1.712
759.0,101.25,4,1.712
760.0,101.25,4,1.712
761.0,101.25,4,1.712
762.0,101.25,4,1.712
763.0,101.25,4,1.712
764.0,101.25,4,1.712
765.0,101.25,4,1.712
766.0,101.25,4,1.712
767.0,101.25,4,1.712
768.0,101.37,4,0.000
769.0,101.85,4,0.000
770.0,102.32,4,0.000
771.0,102.78,4,0.000
772.0,103.24,4,0.000
773.0,103.69,4,0.000
774.0,104.14,4,0.000
775.0,104.58,4,0.000
776.0,105.01,4,0.000
777.0,105.44,4,0.000
778.0,105.86,4,0.000
779.0,106.28,4,0.000
780.0,106.69,4,0.000
781.0,107.10,4,0.000
782.0,107.50,4,0.000
783.0,107.89,4,0.000
784.0,108.28,4,0.000
785.0,108.66,4,0.000
786.0,109.04,4,0.000
787.0,109.42,4,0.000
788.0,109.79,5,0.000
789.0,109.93,5,0.000
790.0,108.45,4,0.000
791.0,106.65,4,0.000
792.0,104.82,4,0.000
793.0,102.96,4,0.000
794.0,101.06,4,0.000
795.0,99.13,4,0.000
796.0,97.44,4,0.000
797.0,97.23,4,1.683
798.0,97.23,4,1.683
799.0,97.23,4,1.683
800.0,97.23,4,1.683
801.0,97.23,4,1.683
802.0,97.23,4,1.683
803.0,97.23,4,1.683
804.0,97.23,4,1.683
805.0,97.23,4,1.683
806.0,97.23,4,1.683
807.0,97.23,4,1.683
808.0,97.23,4,1.683
809.0,97.23,4,1.683
810.0,97.23,4,1.683
811.0,97.23,4,1.683
812.0,97.23,4,1.683
813.0,97.23,4,1.683
814.0,97.23,4,1.683
815.0,97.23,4,1.683
816.0,97.23,4,1.683
817.0,97.23,4,1.683
818.0,97.23,4,1.683
819.0,97.23,4,1.683
820.0,97.23,4,1.683
821.0,97.23,4,1.683
822.0,97.23,4,1.683
823.0,97.23,4,1.683
824.0,97.23,4,1.683
825.0,97.23,4,1.683
826.0,97.23,4,1.683
827.0,97.23,4,1.683
828.0,97.23,4,1.683
829.0,97.23,4,1.683
830.0,97.23,4,1.683
831.0,97.23,4,1.683
832.0,97.23,4,1.683
833.0,97.23,4,1.683
834.0,97.23,4,1.683
835.0,97.23,4,1.683
836.0,97.23,4,1.683
837.0,97.23,4,1.683
838.0,97.23,4,1.683
839.0,97.23,4,1.683
840.0,97.23,4,1.683
841.0,97.23,4,1.683
842.0,97.23,4,1.683
843.0,97.23,4,1.683
844.0,97.23,4,1.683
845.0,97.23,4,1.683
846.0,97.23,4,1.683
847.0,97.23,4,1.683
848.0,97.23,4,1.683
849.0,97.54,4,0.000
850.0,98.07,4,0.000
851.0,98.60,4,0.000
852.0,99.12,4,0.000
853.0,99.63,4,0.000
854.0,100.13,4,0.000
855.0,100.63,4,0.000
856.0,101.12,4,0.000
857.0,101.60,4,0.000
858.0,102.07,4,0.000
859.0,102.54,4,0.000
860.0,103.00,4,0.000
861.0,103.46,4,0.000
862.0,103.91,4,0.000
863.0,104.35,4,0.000
864.0,104.79,4,0.000
865.0,105.22,4,0.000
866.0,105.64,4,0.000
867.0,106.06,4,0.000
868.0,106.48,4,0.000
869.0,106.89,4,0.000
870.0,107.29,4,0.000
871.0,107.69,4,0.000
872.0,108.08,4,0.000
873.0,108.47,4,0.000
874.0,108.85,4,0.000
875.0,109.22,4,0.000
876.0,109.60,4,0.000
877.0,109.96,5,0.000
878.0,110.33,5,0.000
879.0,110.69,5,0.000
880.0,111.04,5,0.000
881.0,111.39,5,0.000
882.0,111.73,5,0.000
883.0,112.07,5,0.000
884.0,112.41,5,0.000
885.0,112.74,5,0.000
886.0,113.07,5,0.000
887.0,113.39,5,0.000
888.0,113.71,5,0.000
889.0,114.03,5,0.000
890.0,114.34,5,0.000
891.0,114.65,5,0.000
892.0,114.95,5,0.000
893.0,115.26,5,0.000
894.0,115.55,5,0.000
895.0,115.85,5,0.000
896.0,116.14,5,0.000
897.0,116.42,5,0.000
898.0,116.71,5,0.000
899.0,116.99,5,0.000
900.0,117.26,5,0.000
901.0,117.54,5,0.000
902.0,117.81,5,0.000
903.0,118.07,5,0.000
904.0,118.34,5,0.000
905.0,118.60,5,0.000
906.0,118.85,5,0.000
907.0,119.11,5,0.000
908.0,119.36,5,0.000
909.0,119.61,5,0.000
910.0,119.86,5,0.000
911.0,120.10,5,0.000
912.0,120.34,5,0.000
913.0,120.58,5,0.000
914.0,120.81,5,0.000
915.0,121.04,5,0.000
916.0,121.27,5,0.000
917.0,121.50,5,0.000
918.0,120.17,5,0.000
919.0,118.55,5,0.000
920.0,116.90,5,0.000
921.0,115.24,5,0.000
922.0,113.55,5,0.000
923.0,111.83,5,0.000
924.0,110.09,5,0.000
925.0,108.31,4,0.000
926.0,106.51,4,0.000
927.0,104.68,4,0.000
928.0,102.82,4,0.000
929.0,102.27,4,1.719
930.0,102.27,4,1.719
931.0,102.27,4,1.719
932.0,102.27,4,1.719
933.0,102.27,4,1.719
934.0,102.27,4,1.719
935.0,102.27,4,1.719
936.0,102.27,4,1.719
937.0,102.27,4,1.719
938.0,102.27,4,1.719
939.0,102.27,4,1.719
940.0,102.27,4,1.719
941.0,102.27,4,1.719
942.0,102.27,4,1.719
943.0,102.27,4,1.719
944.0,102.27,4,1.719
945.0,102.27,4,1.719
946.0,102.27,4,1.719
947.0,102.27,4,1.719
948.0,102.27,4,1.719
949.0,102.27,4,1.719
950.0,102.27,4,1.719
951.0,102.27,4,1.719
952.0,102.27,4,1.719
953.0,102.27,4,1.719
954.0,102.27,4,1.719
955.0,102.27,4,1.719
956.0,102.27,4,1.719
957.0,102.27,4,1.719
958.0,102.27,4,1.719
959.0,102.27,4,1.719
960.0,102.27,4,1.719
961.0,102.27,4,1.719
962.0,102.27,4,1.719
963.0,102.27,4,1.719
964.0,102.27,4,1.719
965.0,102.27,4,1.719
966.0,102.27,4,1.719
967.0,102.27,4,1.719
968.0,102.27,4,1.719
969.0,102.27,4,1.719
970.0,102.27,4,1.719
971.0,102.27,4,1.719
972.0,102.27,4,1.719
973.0,102.27,4,1.719
974.0,102.27,4,1.719
975.0,102.27,4,1.719
976.0,102.35,4,0.000
977.0,102.80,4,0.000
978.0,103.25,4,0.000
979.0,103.71,4,0.000
980.0,104.15,4,0.000
981.0,104.59,4,0.000
982.0,105.02,4,0.000
983.0,105.45,4,0.000
984.0,105.87,4,0.000
985.0,106.29,4,0.000
986.0,106.70,4,0.000
987.0,107.11,4,0.000
988.0,107.51,4,0.000
989.0,107.90,4,0.000
990.0,108.29,4,0.000
991.0,108.68,4,0.000
992.0,109.05,4,0.000
993.0,109.43,4,0.000
994.0,109.80,5,0.000
995.0,110.16,5,0.000
996.0,110.52,5,0.000
